firstname,lastname,hoursworked,payrate,gross,overtime,state_tax,federal_tax,net
Aniya,Howell,80.0,20.0,2000.0,1200.0,112.0,158.0,1730.0
Test,User,40.0,23.0,920.0,0.0,51.52,72.68,795.8
Allen,Poston,45.0,32.16,1527.6,241.2,85.55,120.68,1321.37
Armando,Ochoa,56.0,43.0,2752.0,1032.0,154.11,217.41,2380.48
Alexander,Mansfield,27.0,17.6,475.2,0.0,26.61,37.54,411.05
User,Test,78.0,19.0,1843.0,1083.0,103.21,145.6,1594.19
John,Mack,16.0,61.0,976.0,0.0,54.66,77.1,844.24
David,Ortega,12.15,12.61,153.21,0.0,8.58,12.1,132.53
Terry,Black,32.0,71.0,2272.0,0.0,127.23,179.49,1965.28
Sarah,Jane,32.6,55.2,1799.52,0.0,100.77,142.16,1556.58
